38.0,1248.0,48.0
840.0,1335.0,16.0
1003.0,1432.0,24.0
1599.0,1082.0,5.0
219.0,1558.0,26.0
463.0,1149.0,34.0
545.0,1538.0,6.0
1056.0,1041.0,23.0
481.0,1307.0,11.0
1295.0,661.0,2.0
1497.0,1495.0,67.0
1558.0,243.0,29.0
330.0,1015.0,37.0
1569.0,1366.0,3.0
1181.0,570.0,96.0
577.0,1485.0,57.0
500.0,1377.0,76.0
1148.0,153.0,39.0
316.0,300.0,66.0
1144.0,1330.0,38.0
1429.0,1195.0,72.0
1578.0,1546.0,78.0
1036.0,1065.0,2.0
912.0,357.0,81.0
731.0,1497.0,93.0
1473.0,211.0,6.0
916.0,227.0,27.0
441.0,912.0,39.0
966.0,314.0,8.0
1001.0,626.0,13.0
699.0,1285.0,61.0
458.0,1566.0,48.0
754.0,1384.0,13.0
668.0,1348.0,70.0
319.0,1430.0,42.0
491.0,572.0,3.0
611.0,632.0,74.0
1136.0,137.0,75.0
194.0,493.0,44.0
594.0,792.0,97.0
1560.0,551.0,92.0
645.0,1592.0,49.0
302.0,1287.0,45.0
1114.0,583.0,41.0
1457.0,1376.0,90.0
1158.0,73.0,68.0
289.0,861.0,10.0
610.0,861.0,45.0
1018.0,1393.0,72.0
896.0,922.0,54.0
675.0,148.0,52.0
1403.0,767.0,63.0
846.0,1163.0,27.0
1432.0,483.0,80.0
1054.0,454.0,16.0
945.0,306.0,76.0
397.0,1386.0,56.0
942.0,363.0,33.0
41.0,1106.0,21.0
86.0,876.0,46.0
283.0,483.0,68.0
1553.0,1456.0,14.0
822.0,1129.0,88.0
1394.0,745.0,51.0
1301.0,483.0,31.0
388.0,483.0,5.0
483.0,128.0,76.0
791.0,1078.0,34.0
1407.0,1425.0,10.0
1405.0,178.0,44.0
556.0,893.0,55.0
976.0,13.0,21.0
1458.0,1144.0,69.0
1488.0,568.0,19.0
1378.0,600.0,26.0
302.0,518.0,16.0
405.0,237.0,36.0
338.0,288.0,79.0
493.0,1469.0,87.0
703.0,1215.0,22.0
1333.0,581.0,95.0
1353.0,1365.0,26.0
1578.0,258.0,74.0
1191.0,1137.0,3.0
38.0,1156.0,15.0
1222.0,128.0,9.0
239.0,371.0,93.0
1077.0,1232.0,84.0
1355.0,301.0,37.0
1369.0,762.0,68.0
909.0,1243.0,26.0
585.0,996.0,92.0
554.0,1412.0,85.0
846.0,149.0,91.0
1473.0,405.0,10.0
1469.0,640.0,22.0
1096.0,630.0,30.0
623.0,186.0,48.0
1542.0,1521.0,63.0
1499.0,571.0,65.0
486.0,477.0,97.0
666.0,1213.0,63.0
929.0,996.0,49.0
268.0,1363.0,91.0
334.0,828.0,95.0
1433.0,91.0,34.0
87.0,857.0,18.0
203.0,211.0,16.0
708.0,884.0,83.0
1208.0,267.0,90.0
373.0,810.0,44.0
973.0,290.0,26.0
116.0,260.0,17.0
1055.0,102.0,86.0
1237.0,561.0,17.0
702.0,572.0,80.0
723.0,628.0,11.0
250.0,675.0,31.0
1599.0,529.0,63.0
213.0,238.0,26.0
856.0,507.0,31.0
350.0,283.0,30.0
578.0,763.0,71.0
34.0,1097.0,46.0
262.0,1542.0,40.0
302.0,887.0,71.0
137.0,946.0,98.0
1058.0,1224.0,24.0
46.0,1353.0,47.0
1450.0,1505.0,16.0
888.0,469.0,60.0
908.0,320.0,77.0
299.0,560.0,67.0
71.0,1519.0,72.0
1.0,331.0,22.0
121.0,1023.0,40.0
1168.0,1171.0,45.0
278.0,1479.0,3.0
133.0,341.0,37.0
1068.0,1306.0,33.0
212.0,1285.0,57.0
373.0,1242.0,96.0
1154.0,1104.0,33.0
224.0,815.0,61.0
1587.0,430.0,98.0
352.0,485.0,35.0
565.0,334.0,12.0
1193.0,1305.0,37.0
28.0,1329.0,51.0
857.0,128.0,34.0
1165.0,693.0,5.0
375.0,1284.0,79.0
974.0,265.0,21.0
1518.0,1184.0,15.0
205.0,1461.0,65.0
993.0,1450.0,6.0
872.0,562.0,13.0
715.0,587.0,1.0
1572.0,214.0,80.0
338.0,518.0,67.0
634.0,1352.0,6.0
249.0,586.0,91.0
17.0,1561.0,54.0
9.0,162.0,26.0
1303.0,608.0,26.0
1300.0,80.0,3.0
403.0,1008.0,65.0
334.0,138.0,60.0
1442.0,1489.0,2.0
111.0,635.0,54.0
619.0,817.0,31.0
123.0,115.0,84.0
317.0,1550.0,25.0
874.0,1280.0,45.0
163.0,990.0,6.0
935.0,1334.0,15.0
1388.0,1471.0,24.0
710.0,1246.0,72.0
1370.0,595.0,32.0
1131.0,1446.0,18.0
1362.0,237.0,64.0
1375.0,1021.0,65.0
1553.0,605.0,46.0
336.0,1182.0,41.0
110.0,1482.0,75.0
1437.0,1158.0,28.0
988.0,1445.0,13.0
327.0,1149.0,55.0
1555.0,329.0,71.0
1269.0,695.0,71.0
731.0,1569.0,15.0
1169.0,768.0,76.0
431.0,449.0,90.0
856.0,0.0,28.0
1505.0,883.0,23.0
187.0,923.0,45.0
876.0,1280.0,26.0
531.0,128.0,54.0
240.0,623.0,80.0
590.0,818.0,73.0
